Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-145.600000,-79.162500,90.000000,bottom
"C2","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-149.166666,-79.162500,90.000000,bottom
"C3","100nf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-152.733332,-79.162500,90.000000,bottom
"C4","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-146.000000,-90.537500,-90.000000,bottom
"C5","100nf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-149.700000,-90.537500,-90.000000,bottom
"C6","2.2uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-159.866664,-79.162500,90.000000,bottom
"C7","100nf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-163.433330,-79.162500,90.000000,bottom
"C8","2.2uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-156.299998,-79.162500,90.000000,bottom
"C9","100nf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-155.500000,-94.637500,-90.000000,bottom
"C10","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-167.000000,-79.162500,90.000000,bottom
"C11","10nf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-212.500000,-97.912500,-90.000000,bottom
"C12","10nf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-212.500000,-90.812500,90.000000,bottom
"C13","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-159.020000,-94.637500,-90.000000,bottom
"C14","2.2nf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-158.886666,-73.050000,-90.000000,bottom
"C15","2.2nf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-148.600000,-73.062500,-90.000000,bottom
"C16","100nf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-127.550000,-92.700000,180.000000,bottom
"D1","1N4148WS","D_SOD-323",-110.718160,-73.050000,90.000000,bottom
"R1","470","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-163.900000,-73.050000,90.000000,bottom
"R2","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-205.925000,-110.200000,90.000000,bottom
"R3","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-196.850000,-110.200000,90.000000,bottom
"R4","470","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-153.500000,-73.100000,90.000000,bottom
"R5","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-187.775000,-110.200000,90.000000,bottom
"R6","220","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-104.375200,-73.050000,-90.000000,bottom
"R7","22","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-166.200000,-113.700000,-90.000000,bottom
"R8","22","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-166.200000,-91.750000,90.000000,bottom
"R9","22","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-166.200000,-85.500000,90.000000,bottom
"R10","220","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-123.574080,-73.050000,-90.000000,bottom
"R11","220","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-136.600000,-73.050000,-90.000000,bottom
"R12","470","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-113.300000,-97.600000,0.000000,bottom
"R13","220","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-117.061120,-73.050000,-90.000000,bottom
"R14","220","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-130.087040,-73.050000,-90.000000,bottom
"U1","A3.3V ME6211C33","TSOT-23-5",-147.437500,-85.050000,0.000000,bottom
"U2","PCM5102","TSSOP-20_4.4x6.5mm_P0.65mm",-157.800000,-87.500000,-90.000000,bottom
"U3","74HCT14","TSSOP-14_4.4x5mm_P0.65mm",-125.662500,-86.950000,0.000000,bottom
"U4","H11L1","SOP-6_6.5x7.12mm_P2.54mm",-113.300000,-89.100000,-90.000000,bottom
