Comment,Designator,Footprint,LCSC
"100nf","C1,C3,C5,C7,C9,C16","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C472810"
"10nf","C11,C12","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C77455"
"2.2nf","C14,C15","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C395967"
"10uf","C2,C4,C10,C13","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C111662"
"2.2uf","C6,C8","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C6119894"
"1N4148WS","D1","Diode_SMD:D_SOD-323","C2128"
"470","R1,R4,R12","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C104814"
"10k","R2,R3,R5","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C2073539"
"220","R6,R10,R11,R13,R14","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C872616"
"22","R7,R8,R9","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C912903"
"A3.3V ME6211C33","U1","Package_TO_SOT_SMD:TSOT-23-5","C82942"
"PCM5102","U2","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","C107671"
"74HCT14","U3","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","C133639"
"H11L1","U4","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","C78589"
